,year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
0,2018,7,15,21,0,14.62473,-16.351214,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,36.1248,430,430,430,430
1,2018,7,15,21,0,16.50657,-11.411289,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,218.8744,430,430,430,430
2,2018,7,15,21,0,15.22778,-16.718164,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,31.6228,430,430,430,430
3,2018,7,15,21,0,14.165355,-15.377818,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,70.342,430,430,430,430
4,2018,7,15,21,0,11.999973,-10.377465,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,253.6632,430,430,430,430
5,2018,7,15,21,0,17.972456,-17.643549,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,111.1126,430,430,430,430
6,2018,7,15,21,0,16.881288,-13.174475,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,168.609,430,430,430,430
7,2018,7,15,21,0,13.052848,-15.731054,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,77.8332,430,430,430,430
8,2018,7,15,21,0,15.399719,-14.345351,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,109.1421,430,430,430,430
9,2018,7,15,21,0,15.486892,-12.705229,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,164.5752,430,430,430,430
10,2018,7,15,21,0,11.063825,-11.857297,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,221.3594,430,430,430,430
11,2018,7,15,21,0,17.859306,-10.244895,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,275.3634,430,430,430,430
12,2018,7,15,21,0,14.906615,-17.645915,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,9.2195,430,430,430,430
13,2018,7,15,21,0,10.032441,-16.92822,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,165.0757,430,430,430,430
14,2018,7,15,21,0,17.528018,-15.577116,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,121.6059,430,430,430,430
15,2018,7,15,21,0,12.929165,-10.81443,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,229.7063,430,430,430,430
16,2018,7,15,21,0,12.51491,-13.608143,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,144.9172,430,430,430,430
17,2018,7,15,21,0,13.488248,-17.480047,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,42.2966,430,430,430,430
18,2018,7,15,21,0,14.67637,-11.247457,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,210.0024,430,430,430,430
19,2018,7,15,21,0,11.251351,-16.205608,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,125.1599,430,430,430,430
20,2018,7,15,21,0,13.302962,-17.704601,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,50.6952,430,430,430,430
21,2018,7,15,21,0,13.972828,-11.456137,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,203.3052,430,430,430,430
22,2018,7,15,21,0,15.263128,-13.73213,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,128.7245,430,430,430,430
23,2018,7,15,21,0,16.841006,-16.802495,14,-5,14,-5,14,-5,14,-5,3430.398117503591,0,0,0,0,7460.2964643454525,0,0,0,0,78.5493,430,430,430,430
