year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5,Cb_Dakar_t1,Cb_Dakar_t3,Cb_Dakar_t6
2004,6,1,17,45,12.08,-8.22,10.06,-8.13,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,66.0,2153.0,0.0,0.0,0.0,21075,35875.0,0.0,0.0,0.0,325.14,352.41,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,18,0,12.13,-8.18,10.02,-8.31,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,121.0,836.0,0.0,0.0,0.0,11000,29150.0,0.0,0.0,0.0,326.53,347.12,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,18,15,12.17,-8.18,10.02,-8.45,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,124.0,2379.0,0.0,0.0,0.0,12400,47675.0,0.0,0.0,0.0,326.27,343.59,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,18,30,12.0,-8.94,12.13,-8.27,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,114.0,242.0,0.0,0.0,0.0,14375,6325.0,0.0,0.0,0.0,301.39,323.64,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,18,45,12.04,-8.85,10.6,-8.18,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,252.0,2230.0,0.0,0.0,0.0,11050,13500.0,0.0,0.0,0.0,304.6,343.29,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,19,0,12.04,-8.81,10.6,-8.31,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,350.0,3377.0,0.0,0.0,0.0,12500,12825.0,0.0,0.0,0.0,305.56,338.74,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,19,15,12.04,-8.72,10.56,-8.4,10.02,-8.9,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,216.0,3654.0,2485.0,0.0,0.0,13875,24875.0,12550.0,0.0,0.0,308.42,329.56,336.86,520.0,520.0,0.0,0.0,0.0
2004,6,1,19,30,12.04,-8.72,10.56,-8.54,10.02,-9.03,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,206.0,3865.0,2638.0,0.0,0.0,15125,21100.0,12900.0,0.0,0.0,308.42,325.22,332.34,520.0,520.0,0.0,0.0,0.0
2004,6,1,19,45,12.04,-8.72,11.73,-9.39,10.56,-8.63,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,405.0,199.0,2756.0,0.0,0.0,11950,14350.0,8075.0,0.0,0.0,289.21,308.42,329.63,520.0,520.0,0.0,0.0,0.0
2004,6,1,20,0,12.08,-8.67,11.82,-9.35,10.56,-8.76,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,582.0,498.0,2888.0,0.0,0.0,4675,13250.0,7525.0,0.0,0.0,290.06,309.76,325.14,520.0,520.0,0.0,0.0,0.0
2004,6,1,20,15,12.17,-8.58,11.77,-9.39,10.56,-8.85,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,603.0,558.0,2613.0,0.0,0.0,7425,11275.0,8175.0,0.0,0.0,288.52,311.81,322.44,520.0,520.0,0.0,0.0,0.0
2004,6,1,20,30,11.77,-9.53,12.22,-8.54,10.56,-8.9,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,620.0,771.0,4522.0,0.0,0.0,10800,2875.0,7575.0,0.0,0.0,284.18,313.2,320.65,520.0,520.0,0.0,0.0,0.0
2004,6,1,20,45,12.53,-9.39,11.73,-9.62,12.35,-8.4,10.56,-8.9,10.78,-8.18,655.0,799.0,940.0,4540.0,5627.0,1875,13550.0,5400.0,7000.0,2200.0,281.37,281.73,316.75,320.65,340.48,0.0,0.0,0.0
2004,6,1,21,0,12.4,-8.4,12.58,-9.35,11.68,-9.7,10.56,-8.94,14.716677,-2.4676860000000005,953.0,725.0,690.0,7187.0,0.0,15700,4725.0,2325.0,11450.0,0.0,279.66,283.05,316.51,319.76,520.0,0.0,0.0,0.0
2004,6,1,21,15,11.46,-9.7,12.58,-9.48,10.29,-9.57,10.51,-8.94,14.716677,-2.4676860000000005,1088.0,1084.0,11567.0,12613.0,0.0,6875,16850.0,475.0,11550.0,0.0,278.21,282.7,303.76,320.21,520.0,0.0,0.0,0.0
2004,6,1,21,30,10.47,-8.94,11.41,-9.88,11.86,-9.03,12.53,-9.53,14.716677,-2.4676860000000005,9839.0,14613.0,11005.0,3919.0,0.0,12700,9600.0,3375.0,10200.0,0.0,276.68,277.5,299.79,320.22,520.0,0.0,0.0,0.0
2004,6,1,21,45,11.95,-8.94,12.49,-9.57,11.37,-9.97,10.42,-8.94,10.83,-8.27,1004.0,842.0,451.0,8112.0,8488.0,14175,10200.0,2450.0,4850.0,4100.0,274.77,276.1,301.69,320.68,337.33,0.0,0.0,0.0
2004,6,1,22,0,11.32,-10.15,11.64,-9.53,12.49,-9.53,10.33,-9.03,14.716677,-2.4676860000000005,761.0,1107.0,843.0,10741.0,0.0,14050,10100.0,275.0,9250.0,0.0,270.17,278.03,285.61,319.88,520.0,0.0,0.0,0.0
2004,6,1,22,15,12.49,-9.48,11.32,-10.29,10.29,-9.03,10.74,-8.49,14.716677,-2.4676860000000005,940.0,863.0,13035.0,15087.0,0.0,17050,9850.0,3125.0,4350.0,0.0,265.66,278.99,320.36,331.21,520.0,0.0,0.0,0.0
2004,6,1,22,30,12.49,-9.48,12.26,-10.02,11.28,-10.38,10.24,-9.08,12.58,-8.09,1417.0,1470.0,936.0,5685.0,14783.0,1500,22625.0,8175.0,4550.0,38725.0,263.1,263.41,278.99,319.56,326.59,0.0,0.0,0.0
2004,6,1,22,45,12.31,-9.97,12.58,-9.39,11.23,-10.51,12.58,-8.27,10.56,-8.67,1410.0,158.0,995.0,8603.0,9195.0,23350,900.0,5800.0,47700.0,1000.0,259.85,263.75,281.11,319.98,327.83,0.0,0.0,0.0
2004,6,1,23,0,11.14,-10.6,12.58,-9.35,12.26,-10.15,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,8959.0,14886.0,9199.0,0.0,0.0,27100,2000.0,3800.0,0.0,0.0,257.71,258.36,283.05,520.0,520.0,0.0,0.0,0.0
2004,6,1,23,15,10.96,-10.74,12.31,-10.11,12.04,-10.29,14.716677,-2.4676860000000005,14.716677,-2.4676860000000005,14298.0,3240.0,8719.0,0.0,0.0,475,28275.0,1475.0,0.0,0.0,256.32,256.76,259.94,520.0,520.0,0.0,0.0,0.0
